Time,Channel A,Channel B
(ms),(mV),(mV)

-2.49119987,6.33919800,6.31151500
-2.49113587,7.13275100,7.10199300
-2.49107187,7.92630300,7.88939400
-2.49100787,8.71678100,8.67987200
-2.49094387,7.92630300,8.67987200
-2.49087987,7.92630300,7.88939400
-2.49081587,6.33919800,6.31151500
-2.49075187,5.54872000,5.52103800
-2.49068787,3.96161400,3.15575800
-2.49062387,2.37758400,1.57787900
-2.49055987,0.00000000,0.00000000
-2.49049587,-1.58403000,-2.36528000
-2.49043187,-3.16806100,-3.94315900
-2.49036787,-4.75516700,-4.73363700
-2.49030387,-5.54872000,-5.52103800
-2.49023987,-6.33919800,-7.10199300
-2.49017587,-7.13275100,-7.10199300
-2.49011187,-7.13275100,-7.10199300
-2.49004787,-6.33919800,-7.10199300
-2.48998387,-5.54872000,-6.31151500
-2.48991987,-4.75516700,-4.73363700
-2.48985587,-3.16806100,-3.15575800
-2.48979187,-1.58403000,-1.57787900
-2.48972787,0.00000000,0.78740150
-2.48966387,1.58403000,2.36528000
-2.48959987,3.16806100,3.94315900
-2.48953587,4.75516700,4.73363700
-2.48947187,5.54872000,6.31151500
-2.48940787,6.33919800,6.31151500
-2.48934387,6.33919800,7.10199300
-2.48927987,6.33919800,6.31151500
-2.48921587,5.54872000,5.52103800
-2.48915187,4.75516700,4.73363700
-2.48908787,3.96161400,3.15575800
-2.48902387,1.58403000,1.57787900
-2.48895987,0.00000000,0.00000000
-2.48889587,-1.58403000,-2.36528000
-2.48883187,-3.16806100,-3.94315900
-2.48876787,-4.75516700,-5.52103800
-2.48870387,-6.33919800,-7.10199300
-2.48863987,-7.13275100,-7.88939400
-2.48857587,-7.92630300,-7.88939400
-2.48851187,-7.92630300,-7.88939400
-2.48844787,-7.92630300,-7.88939400
-2.48838387,-7.13275100,-7.10199300
-2.48831987,-5.54872000,-5.52103800
-2.48825587,-3.96161400,-3.94315900
-2.48819187,-2.37758400,-2.36528000
-2.48812787,0.00000000,0.00000000
-2.48806387,1.58403000,2.36528000
-2.48799987,3.16806100,3.94315900
-2.48793587,5.54872000,5.52103800
-2.48787187,7.13275100,7.88939400
-2.48780787,7.92630300,8.67987200
-2.48774387,8.71678100,8.67987200
-2.48767987,8.71678100,9.46727400
-2.48761587,8.71678100,8.67987200
-2.48755187,7.92630300,7.10199300
-2.48748787,6.33919800,7.10199300
-2.48742387,4.75516700,5.52103800
-2.48735987,3.16806100,3.15575800
-2.48729587,0.79047730,1.57787900
-2.48723187,-0.79047730,-0.78740150
-2.48716787,-3.16806100,-3.15575800
-2.48710387,-4.75516700,-5.52103800
-2.48703987,-7.13275100,-7.10199300
-2.48697587,-7.92630300,-7.88939400
-2.48691187,-8.71678100,-9.46727400
-2.48684787,-8.71678100,-9.46727400
-2.48678387,-8.71678100,-9.46727400
-2.48671987,-8.71678100,-8.67987200
-2.48665587,-7.13275100,-7.10199300
-2.48659187,-6.33919800,-5.52103800
-2.48652787,-3.96161400,-3.94315900
-2.48646387,-2.37758400,-2.36528000
-2.48639987,0.00000000,0.78740150
-2.48633587,2.37758400,2.36528000
-2.48627187,3.96161400,4.73363700
-2.48620787,5.54872000,6.31151500
-2.48614387,7.13275100,7.10199300
-2.48607987,7.92630300,8.67987200
-2.48601587,7.92630300,7.88939400
-2.48595187,8.71678100,8.67987200
-2.48588787,7.92630300,7.88939400
-2.48582387,7.13275100,6.31151500
-2.48575987,5.54872000,5.52103800
-2.48569587,3.96161400,3.94315900
-2.48563187,1.58403000,1.57787900
-2.48556787,-0.79047730,-0.78740150
-2.48550387,-2.37758400,-2.36528000
-2.48543987,-4.75516700,-4.73363700
-2.48537587,-6.33919800,-6.31151500
-2.48531187,-7.92630300,-7.88939400
-2.48524787,-7.92630300,-8.67987200
-2.48518387,-8.71678100,-8.67987200
-2.48511987,-8.71678100,-8.67987200
-2.48505587,-7.92630300,-7.10199300
-2.48499187,-7.13275100,-6.31151500
-2.48492787,-5.54872000,-5.52103800
-2.48486387,-3.16806100,-3.94315900
-2.48479987,-1.58403000,-0.78740150
-2.48473587,0.79047730,1.57787900
-2.48467187,2.37758400,3.15575800
-2.48460787,4.75516700,4.73363700
-2.48454387,6.33919800,6.31151500
-2.48447987,7.13275100,7.88939400
-2.48441587,8.71678100,8.67987200
-2.48435187,8.71678100,9.46727400
-2.48428787,8.71678100,8.67987200
-2.48422387,7.92630300,7.88939400
-2.48415987,7.13275100,6.31151500
-2.48409587,5.54872000,5.52103800
-2.48403187,3.96161400,3.94315900
-2.48396787,1.58403000,1.57787900
-2.48390387,-0.79047730,-1.57787900
-2.48383987,-3.16806100,-2.36528000
-2.48377587,-4.75516700,-4.73363700
-2.48371187,-6.33919800,-6.31151500
-2.48364787,-7.92630300,-7.88939400
-2.48358387,-8.71678100,-8.67987200
-2.48351987,-8.71678100,-9.46727400
-2.48345587,-8.71678100,-8.67987200
-2.48339187,-8.71678100,-8.67987200
-2.48332787,-7.13275100,-7.10199300
-2.48326387,-5.54872000,-5.52103800
-2.48319987,-3.96161400,-3.94315900
-2.48313587,-2.37758400,-1.57787900
-2.48307187,0.00000000,0.78740150
-2.48300787,2.37758400,2.36528000
-2.48294387,3.96161400,3.94315900
-2.48287987,5.54872000,5.52103800
-2.48281587,7.13275100,7.10199300
-2.48275187,7.92630300,7.88939400
-2.48268787,8.71678100,8.67987200
-2.48262387,8.71678100,8.67987200
-2.48255987,7.92630300,8.67987200
-2.48249587,7.13275100,7.10199300
-2.48243187,5.54872000,6.31151500
-2.48236787,3.96161400,3.94315900
-2.48230387,2.37758400,2.36528000
-2.48223987,-0.79047730,0.00000000
-2.48217587,-2.37758400,-3.15575800
-2.48211187,-3.96161400,-4.73363700
-2.48204787,-6.33919800,-6.31151500
-2.48198387,-7.13275100,-7.88939400
-2.48191987,-7.92630300,-8.67987200
-2.48185587,-9.51033400,-8.67987200
-2.48179187,-8.71678100,-8.67987200
-2.48172787,-8.71678100,-7.88939400
-2.48166387,-7.13275100,-7.10199300
-2.48159987,-5.54872000,-5.52103800
-2.48153587,-3.96161400,-3.94315900
-2.48147187,-1.58403000,-1.57787900
-2.48140787,0.79047730,0.78740150
-2.48134387,2.37758400,3.15575800
-2.48127987,3.96161400,4.73363700
-2.48121587,6.33919800,6.31151500
-2.48115187,7.13275100,7.88939400
-2.48108787,8.71678100,8.67987200
-2.48102387,8.71678100,8.67987200
-2.48095987,8.71678100,9.46727400
-2.48089587,7.92630300,7.88939400
-2.48083187,7.13275100,7.10199300
-2.48076787,5.54872000,5.52103800
-2.48070387,3.96161400,3.94315900
-2.48063987,1.58403000,1.57787900
-2.48057587,-0.79047730,0.00000000
-2.48051187,-2.37758400,-3.15575800
-2.48044787,-4.75516700,-4.73363700
-2.48038387,-6.33919800,-7.10199300
-2.48031987,-7.92630300,-7.88939400
-2.48025587,-8.71678100,-8.67987200
-2.48019187,-9.51033400,-9.46727400
-2.48012787,-9.51033400,-9.46727400
-2.48006387,-8.71678100,-8.67987200
-2.47999987,-7.92630300,-7.88939400
-2.47993587,-6.33919800,-5.52103800
-2.47987187,-4.75516700,-3.94315900
-2.47980787,-2.37758400,-2.36528000
-2.47974387,0.00000000,-0.78740150
-2.47967987,2.37758400,2.36528000
-2.47961587,3.96161400,3.94315900
-2.47955187,5.54872000,6.31151500
-2.47948787,7.13275100,7.10199300
-2.47942387,8.71678100,7.88939400
-2.47935987,8.71678100,8.67987200
-2.47929587,8.71678100,8.67987200
